GO biological process complete	Homo sapiens - REFLIST (20595)	intersect.genes_uniq.txt (8324)	intersect.genes_uniq.txt (expected)	intersect.genes_uniq.txt (over/under)	intersect.genes_uniq.txt (fold Enrichment)	intersect.genes_uniq.txt (raw P-value)	intersect.genes_uniq.txt (FDR)
regulation of dendrite morphogenesis (GO:0048814)	67	54	27.08	+	1.99	2.52E-04	8.96E-03
nephron epithelium morphogenesis (GO:0072088)	64	49	25.87	+	1.89	1.13E-03	3.30E-02
regulation of dendrite development (GO:0050773)	104	79	42.03	+	1.88	3.63E-05	1.54E-03
nephron tubule morphogenesis (GO:0072078)	62	47	25.06	+	1.88	1.39E-03	3.94E-02
nephron morphogenesis (GO:0072028)	66	50	26.68	+	1.87	9.56E-04	2.89E-02
renal tubule morphogenesis (GO:0061333)	66	49	26.68	+	1.84	1.81E-03	4.92E-02
negative regulation of neuron differentiation (GO:0045665)	70	51	28.29	+	1.80	1.71E-03	4.70E-02
positive regulation of axonogenesis (GO:0050772)	84	61	33.95	+	1.80	6.24E-04	2.00E-02
ephrin receptor signaling pathway (GO:0048013)	86	62	34.76	+	1.78	6.98E-04	2.19E-02
postsynapse organization (GO:0099173)	89	64	35.97	+	1.78	6.14E-04	1.97E-02
renal tubule development (GO:0061326)	81	58	32.74	+	1.77	1.30E-03	3.73E-02
kidney morphogenesis (GO:0060993)	83	59	33.55	+	1.76	1.09E-03	3.22E-02
dorsal/ventral pattern formation (GO:0009953)	76	54	30.72	+	1.76	1.81E-03	4.92E-02
histone acetylation (GO:0016573)	110	78	44.46	+	1.75	1.87E-04	6.97E-03
regulation of synapse assembly (GO:0051963)	99	70	40.01	+	1.75	4.43E-04	1.47E-02
canonical Wnt signaling pathway (GO:0060070)	84	59	33.95	+	1.74	1.54E-03	4.33E-02
roof of mouth development (GO:0060021)	87	60	35.16	+	1.71	1.81E-03	4.92E-02
nephron epithelium development (GO:0072009)	98	67	39.61	+	1.69	1.33E-03	3.80E-02
limbic system development (GO:0021761)	109	74	44.06	+	1.68	7.40E-04	2.32E-02
stem cell population maintenance (GO:0019827)	118	80	47.69	+	1.68	4.93E-04	1.62E-02
maintenance of cell number (GO:0098727)	121	82	48.91	+	1.68	4.31E-04	1.44E-02
regulation of cell morphogenesis involved in differentiation (GO:0010769)	96	65	38.80	+	1.68	1.60E-03	4.46E-02
internal peptidyl-lysine acetylation (GO:0018393)	116	78	46.88	+	1.66	6.01E-04	1.94E-02
peptidyl-lysine acetylation (GO:0018394)	119	80	48.10	+	1.66	5.23E-04	1.71E-02
internal protein amino acid acetylation (GO:0006475)	118	79	47.69	+	1.66	6.50E-04	2.06E-02
regulation of synapse organization (GO:0050807)	210	140	84.88	+	1.65	5.85E-06	3.06E-04
positive regulation of neurogenesis (GO:0050769)	227	151	91.75	+	1.65	3.22E-06	1.76E-04
regulation of axonogenesis (GO:0050770)	161	107	65.07	+	1.64	1.03E-04	4.13E-03
positive regulation of nervous system development (GO:0051962)	274	182	110.74	+	1.64	2.86E-07	1.93E-05
cerebral cortex development (GO:0021987)	118	78	47.69	+	1.64	8.62E-04	2.65E-02
regulation of extent of cell growth (GO:0061387)	112	74	45.27	+	1.63	1.45E-03	4.10E-02
hepaticobiliary system development (GO:0061008)	141	93	56.99	+	1.63	3.57E-04	1.23E-02
liver development (GO:0001889)	138	91	55.78	+	1.63	4.08E-04	1.38E-02
positive regulation of neuron projection development (GO:0010976)	161	106	65.07	+	1.63	1.33E-04	5.13E-03
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	73	44.86	+	1.63	1.41E-03	3.99E-02
regulation of synapse structure or activity (GO:0050803)	221	145	89.32	+	1.62	9.09E-06	4.46E-04
regulation of cell junction assembly (GO:1901888)	202	132	81.64	+	1.62	2.51E-05	1.10E-03
pallium development (GO:0021543)	173	113	69.92	+	1.62	1.00E-04	4.02E-03
regulation of neuron differentiation (GO:0045664)	193	126	78.01	+	1.62	3.76E-05	1.60E-03
branching morphogenesis of an epithelial tube (GO:0048754)	132	86	53.35	+	1.61	6.97E-04	2.19E-02
regulation of neurogenesis (GO:0050767)	364	237	147.12	+	1.61	1.45E-08	1.19E-06
regulation of neuron projection development (GO:0010975)	447	291	180.67	+	1.61	3.23E-10	3.47E-08
kidney epithelium development (GO:0072073)	126	82	50.93	+	1.61	9.21E-04	2.80E-02
negative regulation of neuron apoptotic process (GO:0043524)	146	95	59.01	+	1.61	4.36E-04	1.45E-02
regulation of fat cell differentiation (GO:0045598)	128	83	51.73	+	1.60	9.88E-04	2.96E-02
protein acetylation (GO:0006473)	138	89	55.78	+	1.60	6.88E-04	2.18E-02
negative regulation of neurogenesis (GO:0050768)	143	92	57.80	+	1.59	6.41E-04	2.04E-02
neurotransmitter transport (GO:0006836)	142	91	57.39	+	1.59	7.91E-04	2.45E-02
protein acylation (GO:0043543)	178	114	71.94	+	1.58	1.56E-04	5.94E-03
circadian rhythm (GO:0007623)	138	88	55.78	+	1.58	1.12E-03	3.27E-02
regulation of signal transduction by p53 class mediator (GO:1901796)	201	128	81.24	+	1.58	8.27E-05	3.35E-03
negative regulation of nervous system development (GO:0051961)	148	94	59.82	+	1.57	7.70E-04	2.39E-02
negative regulation of Wnt signaling pathway (GO:0030178)	219	139	88.51	+	1.57	4.70E-05	1.97E-03
regulation of nervous system development (GO:0051960)	443	281	179.05	+	1.57	5.07E-09	4.48E-07
central nervous system neuron differentiation (GO:0021953)	183	116	73.96	+	1.57	1.86E-04	6.97E-03
regulation of neuron apoptotic process (GO:0043523)	210	133	84.88	+	1.57	7.01E-05	2.86E-03
urogenital system development (GO:0001655)	324	205	130.95	+	1.57	6.94E-07	4.33E-05
renal system development (GO:0072001)	291	184	117.62	+	1.56	3.02E-06	1.66E-04
chromatin remodeling (GO:0006338)	173	109	69.92	+	1.56	3.44E-04	1.19E-02
cell projection morphogenesis (GO:0048858)	507	319	204.92	+	1.56	7.91E-10	8.02E-08
cell-cell signaling by wnt (GO:0198738)	350	220	141.46	+	1.56	4.05E-07	2.70E-05
Wnt signaling pathway (GO:0016055)	350	220	141.46	+	1.56	4.05E-07	2.69E-05
