




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (6957)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (FDR)
histone H3 acetylation (GO:0043966)	47	35	15.88	+	2.20	5.28E-04	1.80E-02
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	58	43	19.59	+	2.19	1.33E-04	5.26E-03
translesion synthesis (GO:0019985)	42	31	14.19	+	2.19	1.64E-03	4.68E-02
negative regulation of ERBB signaling pathway (GO:1901185)	53	38	17.90	+	2.12	6.12E-04	2.02E-02
negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)	48	34	16.21	+	2.10	1.31E-03	3.85E-02
ATP-dependent chromatin remodeling (GO:0043044)	77	54	26.01	+	2.08	6.89E-05	2.96E-03
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	70	49	23.65	+	2.07	1.79E-04	6.87E-03
postreplication repair (GO:0006301)	52	36	17.57	+	2.05	1.26E-03	3.75E-02
histone acetylation (GO:0016573)	110	76	37.16	+	2.05	3.69E-06	2.20E-04
mitotic G1/S transition checkpoint signaling (GO:0044819)	71	49	23.98	+	2.04	1.94E-04	7.34E-03
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	79	54	26.69	+	2.02	1.20E-04	4.81E-03
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	75	37.50	+	2.00	5.95E-06	3.47E-04
peptidyl-lysine acetylation (GO:0018394)	119	78	40.20	+	1.94	1.05E-05	5.81E-04
internal peptidyl-lysine acetylation (GO:0018393)	116	76	39.18	+	1.94	1.22E-05	6.62E-04
internal protein amino acid acetylation (GO:0006475)	118	77	39.86	+	1.93	1.39E-05	7.37E-04
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	75	38.85	+	1.93	1.61E-05	8.36E-04
snRNA transcription (GO:0009301)	71	46	23.98	+	1.92	8.52E-04	2.70E-02
snRNA transcription by RNA polymerase II (GO:0042795)	70	45	23.65	+	1.90	1.13E-03	3.41E-02
protein acetylation (GO:0006473)	138	87	46.62	+	1.87	9.44E-06	5.27E-04
mitotic DNA damage checkpoint signaling (GO:0044773)	119	74	40.20	+	1.84	5.83E-05	2.57E-03
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	96	52.70	+	1.82	7.47E-06	4.31E-04
chromatin remodeling (GO:0006338)	173	106	58.44	+	1.81	2.90E-06	1.76E-04
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	75	41.55	+	1.81	1.01E-04	4.15E-03
ncRNA transcription (GO:0098781)	94	57	31.75	+	1.80	6.70E-04	2.19E-02
regulation of ERBB signaling pathway (GO:1901184)	94	57	31.75	+	1.80	6.70E-04	2.18E-02
mitotic cell cycle checkpoint signaling (GO:0007093)	159	96	53.71	+	1.79	1.21E-05	6.58E-04
protein acylation (GO:0043543)	178	107	60.13	+	1.78	3.88E-06	2.31E-04
positive regulation of mitochondrion organization (GO:0010822)	90	54	30.40	+	1.78	1.39E-03	4.05E-02
positive regulation of mRNA catabolic process (GO:0061014)	105	63	35.47	+	1.78	4.68E-04	1.61E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	144	81.07	+	1.78	1.14E-07	8.50E-06
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	67	37.83	+	1.77	3.64E-04	1.29E-02
negative regulation of protein binding (GO:0032091)	92	55	31.08	+	1.77	1.13E-03	3.41E-02
liver development (GO:0001889)	138	82	46.62	+	1.76	8.73E-05	3.65E-03
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	70	39.86	+	1.76	2.69E-04	9.85E-03
regulation of signal transduction by p53 class mediator (GO:1901796)	201	119	67.90	+	1.75	2.01E-06	1.25E-04
hepaticobiliary system development (GO:0061008)	141	83	47.63	+	1.74	1.01E-04	4.17E-03
regulation of mitotic cell cycle phase transition (GO:1901990)	434	255	146.61	+	1.74	5.74E-12	6.98E-10
covalent chromatin modification (GO:0016569)	367	215	123.97	+	1.73	2.84E-10	2.77E-08
DNA damage checkpoint signaling (GO:0000077)	142	83	47.97	+	1.73	1.07E-04	4.38E-03
regulation of cell cycle G1/S phase transition (GO:1902806)	178	104	60.13	+	1.73	1.71E-05	8.79E-04
