




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (609)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
copper ion export (GO:0060003)	3	3	.09	+	33.82	4.42E-04	4.39E-02
N-terminal peptidyl-lysine acetylation (GO:0018076)	3	3	.09	+	33.82	4.42E-04	4.37E-02
negative regulation of lymphocyte proliferation (GO:0050672)	85	10	2.51	+	3.98	4.00E-04	4.11E-02
transforming growth factor beta receptor signaling pathway (GO:0007179)	103	12	3.05	+	3.94	1.18E-04	1.65E-02
negative regulation of mononuclear cell proliferation (GO:0032945)	86	10	2.54	+	3.93	4.36E-04	4.39E-02
regulation of Notch signaling pathway (GO:0008593)	106	12	3.13	+	3.83	1.51E-04	2.01E-02
transcription initiation from RNA polymerase II promoter (GO:0006367)	152	16	4.49	+	3.56	2.87E-05	5.74E-03
response to transforming growth factor beta (GO:0071559)	160	15	4.73	+	3.17	1.67E-04	2.06E-02
DNA-templated transcription, initiation (GO:0006352)	195	18	5.77	+	3.12	4.64E-05	8.14E-03
cellular response to transforming growth factor beta stimulus (GO:0071560)	153	14	4.52	+	3.09	3.42E-04	3.61E-02
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	191	16	5.65	+	2.83	3.35E-04	3.57E-02
rhythmic process (GO:0048511)	269	21	7.95	+	2.64	1.07E-04	1.51E-02
transcription by RNA polymerase II (GO:0006366)	382	29	11.30	+	2.57	1.47E-05	3.14E-03
autophagy (GO:0006914)	309	23	9.14	+	2.52	1.58E-04	2.01E-02
process utilizing autophagic mechanism (GO:0061919)	309	23	9.14	+	2.52	1.58E-04	2.00E-02
histone modification (GO:0016570)	363	27	10.73	+	2.52	3.62E-05	6.90E-03
covalent chromatin modification (GO:0016569)	367	27	10.85	+	2.49	4.01E-05	7.54E-03
cellular response to growth factor stimulus (GO:0071363)	497	35	14.70	+	2.38	7.85E-06	1.75E-03
response to growth factor (GO:0070848)	526	37	15.55	+	2.38	3.98E-06	1.05E-03
transcription, DNA-templated (GO:0006351)	530	37	15.67	+	2.36	4.38E-06	1.08E-03
nucleic acid-templated transcription (GO:0097659)	531	37	15.70	+	2.36	4.49E-06	1.09E-03
RNA biosynthetic process (GO:0032774)	543	37	16.06	+	2.30	6.39E-06	1.46E-03
regulation of neuron projection development (GO:0010975)	447	29	13.22	+	2.19	1.42E-04	1.96E-02
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	100	48.14	+	2.08	1.06E-11	1.86E-08
positive regulation of transcription, DNA-templated (GO:0045893)	1628	100	48.14	+	2.08	1.06E-11	1.68E-08
positive regulation of RNA biosynthetic process (GO:1902680)	1629	100	48.17	+	2.08	1.61E-11	2.12E-08
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	113	55.09	+	2.05	9.70E-13	3.07E-09
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	38	18.66	+	2.04	7.78E-05	1.18E-02
positive regulation of cellular biosynthetic process (GO:0031328)	1969	118	58.22	+	2.03	4.78E-13	2.52E-09
positive regulation of RNA metabolic process (GO:0051254)	1773	106	52.43	+	2.02	1.26E-11	1.81E-08
positive regulation of biosynthetic process (GO:0009891)	2004	119	59.26	+	2.01	7.11E-13	2.81E-09
protein localization to organelle (GO:0033365)	742	44	21.94	+	2.01	2.68E-05	5.44E-03
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	115	57.40	+	2.00	2.57E-12	5.08E-09
regulation of cell projection organization (GO:0031344)	648	38	19.16	+	1.98	1.58E-04	2.03E-02
negative regulation of cell population proliferation (GO:0008285)	703	41	20.79	+	1.97	7.29E-05	1.14E-02
negative regulation of cell differentiation (GO:0045596)	644	37	19.04	+	1.94	2.42E-04	2.82E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	68	35.84	+	1.90	9.75E-07	2.97E-04
negative regulation of transcription, DNA-templated (GO:0045892)	1297	72	38.35	+	1.88	6.03E-07	2.03E-04
chromatin organization (GO:0006325)	703	39	20.79	+	1.88	2.94E-04	3.28E-02
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	72	38.41	+	1.87	6.24E-07	2.05E-04
negative regulation of RNA biosynthetic process (GO:1902679)	1301	72	38.47	+	1.87	6.46E-07	2.08E-04
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	85	45.54	+	1.87	6.70E-08	2.72E-05
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	85	45.86	+	1.85	7.97E-08	3.07E-05
negative regulation of cellular biosynthetic process (GO:0031327)	1610	88	47.61	+	1.85	5.38E-08	2.24E-05
negative regulation of developmental process (GO:0051093)	879	48	25.99	+	1.85	7.73E-05	1.19E-02
regulation of cellular catabolic process (GO:0031329)	899	49	26.58	+	1.84	8.56E-05	1.28E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	83	45.18	+	1.84	2.18E-07	8.01E-05
cellular response to DNA damage stimulus (GO:0006974)	793	43	23.45	+	1.83	2.76E-04	3.12E-02
negative regulation of biosynthetic process (GO:0009890)	1643	89	48.58	+	1.83	7.00E-08	2.77E-05
brain development (GO:0007420)	759	41	22.44	+	1.83	3.33E-04	3.58E-02
response to endogenous stimulus (GO:0009719)	1426	77	42.17	+	1.83	7.65E-07	2.42E-04
negative regulation of RNA metabolic process (GO:0051253)	1408	76	41.63	+	1.83	9.98E-07	2.98E-04
head development (GO:0060322)	803	43	23.74	+	1.81	3.08E-04	3.38E-02
negative regulation of gene expression (GO:0010629)	999	53	29.54	+	1.79	8.66E-05	1.28E-02
