seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762042	762071	30	*	X00001	643837	762971	794826	31856	+	899	upstream	899	LINC01128
chr1	762937	763086	150	*	X00002	643837	762971	794826	31856	+	0	overlapStart	0	LINC01128
chr1	762937	763086	150	*	X00002	79854	761586	762902	1317	-	34	upstream	34	LINC00115
chr1	860270	860419	150	*	X00007	148398	860530	879961	19432	+	110	upstream	110	SAMD11
chr1	894601	894720	120	*	X00016	339451	895967	901099	5133	+	1246	upstream	1246	KLHL17
chr1	894601	894720	120	*	X00016	26155	879583	894679	15097	-	0	overlapStart	0	NOC2L
chr1	895479	896055	577	*	X00017	339451	895967	901099	5133	+	0	overlapStart	0	KLHL17
chr1	895479	896055	577	*	X00017	26155	879583	894679	15097	-	799	upstream	799	NOC2L
chr1	901176	901408	233	*	X00018	84069	901877	910484	8608	+	468	upstream	468	PLEKHN1
chr1	936696	936994	299	*	X00024	57801	934342	935552	1211	-	1143	upstream	1143	HES4
chr1	948638	948742	105	*	X00025	9636	948847	949919	1073	+	104	upstream	104	ISG15
chr1	954953	954958	6	*	X00028	375790	955503	991499	35997	+	544	upstream	544	AGRN
chr1	955319	955320	2	*	X00029	375790	955503	991499	35997	+	182	upstream	182	AGRN
chr1	955423	955471	49	*	X00030	375790	955503	991499	35997	+	31	upstream	31	AGRN
chr1	1009773	1009907	135	*	X00047	401934	1007126	1009687	2562	-	85	upstream	85	RNF223
chr1	1009911	1010120	210	*	X00048	401934	1007126	1009687	2562	-	223	upstream	223	RNF223
chr1	1051311	1051445	135	*	X00055	54991	1017198	1051736	34539	-	0	inside	290	C1orf159
chr1	1052286	1052496	211	*	X00056	54991	1017198	1051736	34539	-	549	upstream	549	C1orf159
chr1	1143542	1143651	110	*	X00059	8784	1138888	1142089	3202	-	1452	upstream	1452	TNFRSF18
chr1	1144013	1144167	155	*	X00060	8784	1138888	1142089	3202	-	1923	upstream	1923	TNFRSF18
chr1	1209338	1209599	262	*	X00065	118424	1189292	1209234	19943	-	103	upstream	103	UBE2J2
chr1	1209863	1209967	105	*	X00066	118424	1189292	1209234	19943	-	628	upstream	628	UBE2J2
chr1	1242550	1242654	105	*	X00068	126789	1243994	1247057	3064	+	1339	upstream	1339	PUSL1
chr1	1243000	1243089	90	*	X00069	126789	1243994	1247057	3064	+	904	upstream	904	PUSL1
chr1	1243195	1243293	99	*	X00070	126789	1243994	1247057	3064	+	700	upstream	700	PUSL1
chr1	1244950	1245054	105	*	X00072	116983	1227764	1244989	17226	-	0	overlapStart	0	ACAP3
chr1	1259231	1259329	99	*	X00073	80772	1260143	1264276	4134	+	813	upstream	813	CPTP
chr1	1259373	1259500	128	*	X00074	80772	1260143	1264276	4134	+	642	upstream	642	CPTP
chr1	1259515	1259709	195	*	X00075	80772	1260143	1264276	4134	+	433	upstream	433	CPTP
chr1	1260131	1260265	135	*	X00076	80772	1260143	1264276	4134	+	0	overlapStart	0	CPTP
chr1	1260131	1260265	135	*	X00076	54973	1246965	1260067	13103	-	63	upstream	63	INTS11
chr1	1260310	1260414	105	*	X00077	80772	1260143	1264276	4134	+	0	inside	166	CPTP
chr1	1260310	1260414	105	*	X00077	54973	1246965	1260067	13103	-	242	upstream	242	INTS11
chr1	1261615	1261719	105	*	X00078	54973	1246965	1260067	13103	-	1547	upstream	1547	INTS11
chr1	1284445	1284594	150	*	X00084	1855	1270658	1284492	13835	-	0	overlapStart	0	DVL1
chr1	1285344	1285463	120	*	X00085	1855	1270658	1284492	13835	-	851	upstream	851	DVL1
chr1	1334266	1334385	120	*	X00087	148413	1334910	1337426	2517	+	524	upstream	524	MRPL20-AS1
chr1	1335755	1335874	120	*	X00088	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1405983	1406102	120	*	X00091	83858	1407164	1444689	37526	+	1061	upstream	1061	ATAD3B
chr1	1406307	1406516	210	*	X00092	83858	1407164	1444689	37526	+	647	upstream	647	ATAD3B
chr1	1446979	1447098	120	*	X00094	55210	1447523	1470067	22545	+	424	upstream	424	ATAD3A
chr1	1822775	1823044	270	*	X00103	2782	1716725	1822526	105802	-	248	upstream	248	GNB1
chr1	1823165	1823299	135	*	X00104	2782	1716725	1822526	105802	-	638	upstream	638	GNB1
chr1	1850715	1850864	150	*	X00108	339456	1849029	1850740	1712	-	0	overlapStart	0	TMEM52
chr1	1850880	1851119	240	*	X00109	339456	1849029	1850740	1712	-	139	upstream	139	TMEM52
chr1	1981357	1981416	60	*	X00110	5590	1981909	2116834	134926	+	492	upstream	492	PRKCZ
chr1	1981622	1981728	107	*	X00111	5590	1981909	2116834	134926	+	180	upstream	180	PRKCZ
chr1	1982182	1982331	150	*	X00112	5590	1981909	2116834	134926	+	0	inside	272	PRKCZ
chr1	2140486	2140710	225	*	X00121	199990	2115899	2139172	23274	-	1313	upstream	1313	FAAP20
chr1	2159526	2159705	180	*	X00123	6497	2160134	2241652	81519	+	428	upstream	428	SKI
chr1	2323483	2323752	270	*	X00130	11079	2323214	2336885	13672	+	0	inside	268	RER1
chr1	2323483	2323752	270	*	X00130	79906	2252696	2322993	70298	-	489	upstream	489	MORN1
chr1	2343694	2343783	90	*	X00132	5192	2336241	2344010	7770	-	0	inside	226	PEX10
chr1	2344174	2344263	90	*	X00133	5192	2336241	2344010	7770	-	163	upstream	163	PEX10
chr1	2344909	2345028	120	*	X00134	5192	2336241	2344010	7770	-	898	upstream	898	PEX10
chr1	2457713	2457877	165	*	X00138	55229	2439975	2458035	18061	-	0	inside	157	PANK4
chr1	2517495	2517614	120	*	X00144	127281	2517899	2522908	5010	+	284	upstream	284	PRXL2B
chr1	2518110	2518379	270	*	X00145	127281	2517899	2522908	5010	+	0	inside	210	PRXL2B
