seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1285344	1285356	13	*	X0004	1855	1270658	1284492	13835	-	851	upstream	851	DVL1
chr1	3817439	3817573	135	*	X0005	339448	3805697	3816857	11161	-	581	upstream	581	C1orf174
chr1	6052784	6052873	90	*	X0006	261734	5922870	6052533	129664	-	250	upstream	250	NPHP4
chr1	8877585	8877734	150	*	X0007	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	16176105	16176173	69	*	X0009	729614	16160710	16174642	13933	-	1462	upstream	1462	FLJ37453
chr1	17766228	17766256	29	*	X0010	55920	17733251	17766250	33000	-	0	overlapStart	0	RCC2
chr1	24828721	24828840	120	*	X0014	100750325	24822823	24828850	6028	-	0	inside	9	RCAN3AS
chr1	24828721	24828840	120	*	X0014	11123	24828841	24863510	34670	+	0	upstream	0	RCAN3
chr1	25943375	25943402	28	*	X0016	57134	25943959	26111258	167300	+	556	upstream	556	MAN1C1
chr1	26798281	26798336	56	*	X0019	3151	26798902	26803133	4232	+	565	upstream	565	HMGN2
chr1	27153007	27153108	102	*	X0020	84243	27153201	27182211	29011	+	92	upstream	92	ZDHHC18
chr1	29063089	29063107	19	*	X0021	51441	29063133	29096287	33155	+	25	upstream	25	YTHDF2
chr1	32228679	32229593	915	*	X0023	576	32192718	32229648	36931	-	0	inside	54	ADGRB2
chr1	32229624	32229633	10	*	X0024	576	32192718	32229648	36931	-	0	inside	14	ADGRB2
chr1	36554187	36554280	94	*	X0030	54936	36554453	36559533	5081	+	172	upstream	172	ADPRS
chr1	38157949	38157981	33	*	X0031	54955	38147242	38157888	10647	-	60	upstream	60	C1orf109
chr1	38157949	38157981	33	*	X0031	55143	38158073	38175391	17319	+	91	upstream	91	CDCA8
chr1	40421071	40421190	120	*	X0032	84879	40420784	40435628	14845	+	0	inside	286	MFSD2A
chr1	42501306	42501410	105	*	X0034	59269	41972036	42501596	529561	-	0	inside	185	HIVEP3
chr1	43823819	43823839	21	*	X0036	991	43824626	43828873	4248	+	786	upstream	786	CDC20
chr1	43996465	43996478	14	*	X0037	5792	43996547	44089343	92797	+	68	upstream	68	PTPRF
chr1	44456857	44456976	120	*	X0038	149473	44457280	44462198	4919	+	303	upstream	303	CCDC24
chr1	44457397	44457432	36	*	X0039	149473	44457280	44462198	4919	+	0	inside	116	CCDC24
chr1	44870742	44870755	14	*	X0041	55182	44870960	45117396	246437	+	204	upstream	204	RNF220
chr1	44871244	44871363	120	*	X0042	55182	44870960	45117396	246437	+	0	inside	283	RNF220
chr1	45769662	45769687	26	*	X0044	400752	45769582	45771291	1710	+	0	inside	79	LINC01144
chr1	52607577	52607627	51	*	X0045	9372	52607766	52812358	204593	+	138	upstream	138	ZFYVE9
chr1	54872391	54872503	113	*	X0046	23648	54691104	54872068	180965	-	322	upstream	322	SSBP3
chr1	55007490	55007507	18	*	X0047	26027	55007930	55100417	92488	+	422	upstream	422	ACOT11
chr1	68299127	68299181	55	*	X0050	55970	68167149	68299155	132007	-	0	overlapStart	0	GNG12
chr1	90098631	90098683	53	*	X0053	400761	90090408	90098453	8046	-	177	upstream	177	LRRC8C-DT
chr1	90098631	90098683	53	*	X0053	84230	90098644	90185094	86451	+	0	overlapStart	0	LRRC8C
chr1	93426766	93426846	81	*	X0055	388650	93298286	93427079	128794	-	0	inside	232	DIPK1A
chr1	94311862	94312003	142	*	X0057	100126348	94312388	94312467	80	+	384	upstream	384	MIR760
chr1	109102495	109102515	21	*	X0059	284611	109102971	109181949	78979	+	455	upstream	455	FAM102B
