seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762042	762071	30	*	X00001	643837	762971	794826	31856	+	899	upstream	899	LINC01128
chr1	762937	763086	150	*	X00002	643837	762971	794826	31856	+	0	overlapStart	0	LINC01128
chr1	762937	763086	150	*	X00002	79854	761586	762902	1317	-	34	upstream	34	LINC00115
chr1	860270	860419	150	*	X00006	148398	860530	879961	19432	+	110	upstream	110	SAMD11
chr1	894601	894720	120	*	X00011	339451	895967	901099	5133	+	1246	upstream	1246	KLHL17
chr1	894601	894720	120	*	X00011	26155	879583	894679	15097	-	0	overlapStart	0	NOC2L
chr1	895588	896055	468	*	X00012	339451	895967	901099	5133	+	0	overlapStart	0	KLHL17
chr1	895588	896055	468	*	X00012	26155	879583	894679	15097	-	908	upstream	908	NOC2L
chr1	936696	936994	299	*	X00014	57801	934342	935552	1211	-	1143	upstream	1143	HES4
chr1	948638	948742	105	*	X00015	9636	948847	949919	1073	+	104	upstream	104	ISG15
chr1	955452	955471	20	*	X00016	375790	955503	991499	35997	+	31	upstream	31	AGRN
chr1	1051311	1051445	135	*	X00034	54991	1017198	1051736	34539	-	0	inside	290	C1orf159
chr1	1052286	1052409	124	*	X00035	54991	1017198	1051736	34539	-	549	upstream	549	C1orf159
chr1	1072024	1072118	95	*	X00036	254099	1072397	1079434	7038	+	278	upstream	278	LINC01342
chr1	1072684	1072883	200	*	X00037	254099	1072397	1079434	7038	+	0	inside	286	LINC01342
chr1	1109462	1109470	9	*	X00038	254173	1109286	1133313	24028	+	0	inside	175	TTLL10
chr1	1209338	1209599	262	*	X00042	118424	1189292	1209234	19943	-	103	upstream	103	UBE2J2
chr1	1209863	1209863	1	*	X00043	118424	1189292	1209234	19943	-	628	upstream	628	UBE2J2
chr1	1242550	1242654	105	*	X00044	126789	1243994	1247057	3064	+	1339	upstream	1339	PUSL1
chr1	1243000	1243089	90	*	X00045	126789	1243994	1247057	3064	+	904	upstream	904	PUSL1
chr1	1243195	1243314	120	*	X00046	126789	1243994	1247057	3064	+	679	upstream	679	PUSL1
chr1	1244950	1245054	105	*	X00048	116983	1227764	1244989	17226	-	0	overlapStart	0	ACAP3
chr1	1259578	1259709	132	*	X00049	80772	1260143	1264276	4134	+	433	upstream	433	CPTP
chr1	1260131	1260265	135	*	X00050	80772	1260143	1264276	4134	+	0	overlapStart	0	CPTP
chr1	1260131	1260265	135	*	X00050	54973	1246965	1260067	13103	-	63	upstream	63	INTS11
chr1	1260310	1260414	105	*	X00051	80772	1260143	1264276	4134	+	0	inside	166	CPTP
chr1	1260310	1260414	105	*	X00051	54973	1246965	1260067	13103	-	242	upstream	242	INTS11
chr1	1284445	1284594	150	*	X00053	1855	1270658	1284492	13835	-	0	overlapStart	0	DVL1
chr1	1285344	1285396	53	*	X00054	1855	1270658	1284492	13835	-	851	upstream	851	DVL1
chr1	1334266	1334385	120	*	X00058	148413	1334910	1337426	2517	+	524	upstream	524	MRPL20-AS1
chr1	1335755	1335874	120	*	X00059	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1370107	1370226	120	*	X00064	64856	1370903	1378262	7360	+	676	upstream	676	VWA1
chr1	1370992	1371096	105	*	X00065	64856	1370903	1378262	7360	+	0	inside	88	VWA1
chr1	1406075	1406102	28	*	X00068	83858	1407164	1444689	37526	+	1061	upstream	1061	ATAD3B
chr1	1406307	1406516	210	*	X00069	83858	1407164	1444689	37526	+	647	upstream	647	ATAD3B
chr1	1407453	1407587	135	*	X00070	83858	1407164	1444689	37526	+	0	inside	288	ATAD3B
chr1	1446979	1447098	120	*	X00071	55210	1447523	1470067	22545	+	424	upstream	424	ATAD3A
chr1	1475540	1475553	14	*	X00074	339453	1470158	1475740	5583	-	0	inside	186	TMEM240
chr1	1475569	1475838	270	*	X00076	339453	1470158	1475740	5583	-	0	overlapStart	0	TMEM240
chr1	1475869	1476208	340	*	X00077	339453	1470158	1475740	5583	-	128	upstream	128	TMEM240
chr1	1535661	1535729	69	*	X00078	643988	1533388	1535476	2089	-	184	upstream	184	FNDC10
chr1	1566572	1566731	160	*	X00081	8510	1567560	1570030	2471	+	828	upstream	828	MMP23B
chr1	1567192	1567440	249	*	X00082	8510	1567560	1570030	2471	+	119	upstream	119	MMP23B
chr1	1567803	1567862	60	*	X00083	8510	1567560	1570030	2471	+	0	inside	242	MMP23B
chr1	1822775	1822894	120	*	X00088	2782	1716725	1822526	105802	-	248	upstream	248	GNB1
chr1	1822955	1823044	90	*	X00089	2782	1716725	1822526	105802	-	428	upstream	428	GNB1
chr1	1823165	1823299	135	*	X00090	2782	1716725	1822526	105802	-	638	upstream	638	GNB1
chr1	1850715	1850779	65	*	X00092	339456	1849029	1850740	1712	-	0	overlapStart	0	TMEM52
chr1	1935072	1935176	105	*	X00093	85452	1884752	1935276	50525	-	0	inside	99	CFAP74
chr1	1950179	1950283	105	*	X00094	2563	1950768	1962192	11425	+	484	upstream	484	GABRD
chr1	1950614	1950633	20	*	X00095	2563	1950768	1962192	11425	+	134	upstream	134	GABRD
chr1	1950705	1950741	37	*	X00096	2563	1950768	1962192	11425	+	26	upstream	26	GABRD
chr1	1950920	1951009	90	*	X00097	2563	1950768	1962192	11425	+	0	inside	151	GABRD
chr1	1981357	1981416	60	*	X00099	5590	1981909	2116834	134926	+	492	upstream	492	PRKCZ
chr1	1981622	1981722	101	*	X00100	5590	1981909	2116834	134926	+	186	upstream	186	PRKCZ
chr1	1981774	1981831	58	*	X00101	5590	1981909	2116834	134926	+	77	upstream	77	PRKCZ
chr1	1982182	1982331	150	*	X00102	5590	1981909	2116834	134926	+	0	inside	272	PRKCZ
chr1	2159455	2159510	56	*	X00111	6497	2160134	2241652	81519	+	623	upstream	623	SKI
chr1	2159526	2159705	180	*	X00112	6497	2160134	2241652	81519	+	428	upstream	428	SKI
