seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762937	763009	73	*	X00001	643837	762971	794826	31856	+	0	overlapStart	0	LINC01128
chr1	762937	763009	73	*	X00001	79854	761586	762902	1317	-	34	upstream	34	LINC00115
chr1	860270	860419	150	*	X00010	148398	860530	879961	19432	+	110	upstream	110	SAMD11
chr1	894601	894720	120	*	X00025	339451	895967	901099	5133	+	1246	upstream	1246	KLHL17
chr1	894601	894720	120	*	X00025	26155	879583	894679	15097	-	0	overlapStart	0	NOC2L
chr1	895441	896055	615	*	X00026	339451	895967	901099	5133	+	0	overlapStart	0	KLHL17
chr1	895441	896055	615	*	X00026	26155	879583	894679	15097	-	761	upstream	761	NOC2L
chr1	936696	936994	299	*	X00033	57801	934342	935552	1211	-	1143	upstream	1143	HES4
chr1	948638	948742	105	*	X00034	9636	948847	949919	1073	+	104	upstream	104	ISG15
chr1	955451	955471	21	*	X00035	375790	955503	991499	35997	+	31	upstream	31	AGRN
chr1	1051311	1051445	135	*	X00054	54991	1017198	1051736	34539	-	0	inside	290	C1orf159
chr1	1052286	1052472	187	*	X00055	54991	1017198	1051736	34539	-	549	upstream	549	C1orf159
chr1	1209338	1209599	262	*	X00062	118424	1189292	1209234	19943	-	103	upstream	103	UBE2J2
chr1	1209863	1209967	105	*	X00063	118424	1189292	1209234	19943	-	628	upstream	628	UBE2J2
chr1	1242550	1242654	105	*	X00065	126789	1243994	1247057	3064	+	1339	upstream	1339	PUSL1
chr1	1243000	1243089	90	*	X00066	126789	1243994	1247057	3064	+	904	upstream	904	PUSL1
chr1	1243195	1243288	94	*	X00067	126789	1243994	1247057	3064	+	705	upstream	705	PUSL1
chr1	1244950	1245054	105	*	X00069	116983	1227764	1244989	17226	-	0	overlapStart	0	ACAP3
chr1	1259231	1259236	6	*	X00070	80772	1260143	1264276	4134	+	906	upstream	906	CPTP
chr1	1259515	1259709	195	*	X00071	80772	1260143	1264276	4134	+	433	upstream	433	CPTP
chr1	1260131	1260265	135	*	X00072	80772	1260143	1264276	4134	+	0	overlapStart	0	CPTP
chr1	1260131	1260265	135	*	X00072	54973	1246965	1260067	13103	-	63	upstream	63	INTS11
